database,workload,iteration,start_node,latency_ms,success,error,concurrency,op_type
memgraph,two_hop,4,7211,220.536,True,,,read
memgraph,two_hop,5,7232,222.3833,True,,,read
memgraph,two_hop,6,9292,222.0077,True,,,read
memgraph,two_hop,7,10094,222.0802,True,,,read
memgraph,two_hop,8,10180,221.9225,True,,,read
memgraph,two_hop,9,12020,222.6706,True,,,read
memgraph,two_hop,10,101328,226.29,True,,,read
memgraph,two_hop,11,102194,218.1362,True,,,read
memgraph,two_hop,12,102318,218.2699,True,,,read
memgraph,two_hop,13,104122,219.3517,True,,,read
memgraph,two_hop,14,104187,222.613,True,,,read
memgraph,two_hop,15,105349,222.3434,True,,,read
memgraph,two_hop,16,106261,220.9781,True,,,read
memgraph,two_hop,17,107028,220.0302,True,,,read
memgraph,two_hop,18,107093,220.4855,True,,,read
memgraph,two_hop,19,107295,219.0677,True,,,read
memgraph,two_hop,20,108250,220.6289,True,,,read
memgraph,two_hop,21,109054,219.7101,True,,,read
memgraph,two_hop,22,109073,219.292,True,,,read
memgraph,two_hop,23,110264,218.9257,True,,,read
memgraph,two_hop,24,110376,221.6856,True,,,read
memgraph,two_hop,25,201053,221.3453,True,,,read
memgraph,two_hop,26,204096,218.3656,True,,,read
memgraph,two_hop,27,204176,219.2137,True,,,read
memgraph,two_hop,28,204182,219.1096,True,,,read
memgraph,two_hop,29,205038,221.6434,True,,,read
memgraph,two_hop,30,207048,219.6015,True,,,read
memgraph,two_hop,31,207227,219.4343,True,,,read
memgraph,two_hop,32,208138,219.7324,True,,,read
memgraph,two_hop,33,208159,220.0384,True,,,read
memgraph,two_hop,34,209058,221.456,True,,,read
memgraph,two_hop,35,209108,219.7252,True,,,read
memgraph,two_hop,36,210254,219.7442,True,,,read
memgraph,two_hop,37,302080,219.7194,True,,,read
memgraph,two_hop,38,9208245,218.5074,True,,,read
memgraph,two_hop,39,9304275,219.9809,True,,,read
memgraph,two_hop,40,9305258,220.1633,True,,,read
memgraph,two_hop,41,9306241,221.5007,True,,,read
memgraph,two_hop,42,9307320,220.4006,True,,,read
memgraph,two_hop,43,9309220,218.0228,True,,,read
memgraph,two_hop,44,9309273,222.2455,True,,,read
memgraph,two_hop,45,9309293,220.1334,True,,,read
memgraph,two_hop,46,9310213,218.597,True,,,read
memgraph,two_hop,47,9311240,219.7805,True,,,read
memgraph,two_hop,48,9401244,220.2916,True,,,read
memgraph,two_hop,49,9401326,217.8111,True,,,read
memgraph,two_hop,50,9403260,218.2522,True,,,read
memgraph,two_hop,51,9403269,219.4965,True,,,read
memgraph,two_hop,52,9407272,220.5231,True,,,read
memgraph,two_hop,53,9407278,219.3947,True,,,read
memgraph,two_hop,54,9407401,218.328,True,,,read
memgraph,two_hop,55,9501227,219.5692,True,,,read
memgraph,two_hop,56,9501350,219.3062,True,,,read
memgraph,two_hop,57,9501376,223.4473,True,,,read
memgraph,two_hop,58,9502306,218.2553,True,,,read
memgraph,two_hop,59,9502360,220.8762,True,,,read
memgraph,two_hop,60,9503294,219.2627,True,,,read
memgraph,two_hop,61,9504347,221.3436,True,,,read
memgraph,two_hop,62,9505303,221.0119,True,,,read
memgraph,two_hop,63,9505310,224.9061,True,,,read
memgraph,two_hop,64,9505324,221.3283,True,,,read
memgraph,two_hop,65,9508299,223.2511,True,,,read
memgraph,two_hop,66,9509349,219.8047,True,,,read
memgraph,two_hop,67,9603367,218.7627,True,,,read
memgraph,two_hop,68,9603420,222.6966,True,,,read
memgraph,two_hop,69,9606252,218.9177,True,,,read
memgraph,two_hop,70,9609217,218.3478,True,,,read
memgraph,two_hop,71,9609470,219.0674,True,,,read
memgraph,two_hop,72,9610393,218.908,True,,,read
memgraph,two_hop,73,9701246,219.4195,True,,,read
memgraph,two_hop,74,9702270,226.342,True,,,read
memgraph,two_hop,75,9703209,221.0328,True,,,read
memgraph,two_hop,76,9703232,222.9754,True,,,read
memgraph,two_hop,77,9703423,221.3984,True,,,read
memgraph,two_hop,78,9705262,223.4162,True,,,read
memgraph,two_hop,79,9706541,229.094,True,,,read
memgraph,two_hop,80,9707250,494.9167,True,,,read
memgraph,two_hop,81,9707282,221.9232,True,,,read
memgraph,two_hop,82,9707295,220.188,True,,,read
memgraph,two_hop,83,9710376,219.6674,True,,,read
memgraph,two_hop,84,9711261,220.1833,True,,,read
memgraph,two_hop,85,9711379,220.8472,True,,,read
memgraph,two_hop,86,9803439,220.9394,True,,,read
memgraph,two_hop,87,9804298,219.091,True,,,read
memgraph,two_hop,88,9804313,221.5168,True,,,read
memgraph,two_hop,89,9804343,220.0102,True,,,read
memgraph,two_hop,90,9805465,221.8657,True,,,read
memgraph,two_hop,91,9809529,220.2859,True,,,read
memgraph,two_hop,92,9810418,220.3861,True,,,read
memgraph,two_hop,93,9811432,218.9082,True,,,read
memgraph,two_hop,94,9811469,220.513,True,,,read
memgraph,two_hop,95,9812342,221.1198,True,,,read
memgraph,two_hop,96,9906506,220.6987,True,,,read
memgraph,two_hop,97,9907534,218.5653,True,,,read
memgraph,two_hop,98,9909234,219.3814,True,,,read
memgraph,two_hop,99,9909512,224.273,True,,,read
memgraph,three_hop,0,2106,219.7367,True,,,read
memgraph,three_hop,1,6114,220.9348,True,,,read
memgraph,three_hop,2,6217,223.2416,True,,,read
memgraph,three_hop,3,7077,222.2715,True,,,read
memgraph,three_hop,4,7211,223.3963,True,,,read
memgraph,three_hop,5,7232,223.6175,True,,,read
memgraph,three_hop,6,9292,222.583,True,,,read
memgraph,three_hop,7,10094,219.2679,True,,,read
memgraph,three_hop,8,10180,219.5029,True,,,read
memgraph,three_hop,9,12020,224.5347,True,,,read
memgraph,three_hop,10,101328,222.674,True,,,read
memgraph,three_hop,11,102194,219.2402,True,,,read
memgraph,three_hop,12,102318,218.9572,True,,,read
memgraph,three_hop,13,104122,221.0285,True,,,read
memgraph,three_hop,14,104187,228.6541,True,,,read
memgraph,three_hop,15,105349,219.5252,True,,,read
memgraph,three_hop,16,106261,221.7232,True,,,read
memgraph,three_hop,17,107028,222.4895,True,,,read
memgraph,three_hop,18,107093,220.6993,True,,,read
memgraph,three_hop,19,107295,220.9886,True,,,read
memgraph,three_hop,20,108250,244.4271,True,,,read
memgraph,three_hop,21,109054,221.266,True,,,read
memgraph,three_hop,22,109073,220.5721,True,,,read
memgraph,three_hop,23,110264,221.2923,True,,,read
memgraph,three_hop,24,110376,224.1635,True,,,read
memgraph,three_hop,25,201053,220.1405,True,,,read
memgraph,three_hop,26,204096,221.1246,True,,,read
memgraph,three_hop,27,204176,220.1823,True,,,read
memgraph,three_hop,28,204182,217.7735,True,,,read
memgraph,three_hop,29,205038,230.6724,True,,,read
memgraph,three_hop,30,207048,219.9464,True,,,read
memgraph,three_hop,31,207227,226.3171,True,,,read
memgraph,three_hop,32,208138,220.9188,True,,,read
memgraph,three_hop,33,208159,230.1707,True,,,read
memgraph,three_hop,34,209058,222.8156,True,,,read
memgraph,three_hop,35,209108,220.5836,True,,,read
memgraph,three_hop,36,210254,222.084,True,,,read
memgraph,three_hop,37,302080,223.169,True,,,read
memgraph,three_hop,38,9208245,221.6121,True,,,read
memgraph,three_hop,39,9304275,220.2995,True,,,read
memgraph,three_hop,40,9305258,221.9303,True,,,read
memgraph,three_hop,41,9306241,221.7279,True,,,read
memgraph,three_hop,42,9307320,223.1444,True,,,read
memgraph,three_hop,43,9309220,221.5515,True,,,read
memgraph,three_hop,44,9309273,221.515,True,,,read
memgraph,three_hop,45,9309293,218.4755,True,,,read
memgraph,three_hop,46,9310213,218.4287,True,,,read
memgraph,three_hop,47,9311240,221.2653,True,,,read
memgraph,three_hop,48,9401244,493.256,True,,,read
memgraph,three_hop,49,9401326,220.2508,True,,,read
memgraph,three_hop,50,9403260,219.5896,True,,,read
memgraph,three_hop,51,9403269,223.632,True,,,read
memgraph,three_hop,52,9407272,227.3808,True,,,read
memgraph,three_hop,53,9407278,858.1141,True,,,read
memgraph,three_hop,54,9407401,221.7841,True,,,read
memgraph,three_hop,55,9501227,221.104,True,,,read
memgraph,three_hop,56,9501350,220.8961,True,,,read
memgraph,three_hop,57,9501376,221.1295,True,,,read
memgraph,three_hop,58,9502306,220.6073,True,,,read
memgraph,three_hop,59,9502360,220.9167,True,,,read
memgraph,three_hop,60,9503294,220.6814,True,,,read
memgraph,three_hop,61,9504347,220.545,True,,,read
memgraph,three_hop,62,9505303,917.8707,True,,,read
memgraph,three_hop,63,9505310,219.3744,True,,,read
memgraph,three_hop,64,9505324,221.456,True,,,read
memgraph,three_hop,65,9508299,220.7783,True,,,read
memgraph,three_hop,66,9509349,219.8566,True,,,read
memgraph,three_hop,67,9603367,219.5509,True,,,read
memgraph,three_hop,68,9603420,223.6569,True,,,read
memgraph,three_hop,69,9606252,220.0029,True,,,read
memgraph,three_hop,70,9609217,221.2391,True,,,read
memgraph,three_hop,71,9609470,220.7136,True,,,read
memgraph,three_hop,72,9610393,221.1662,True,,,read
memgraph,three_hop,73,9701246,220.3235,True,,,read
memgraph,three_hop,74,9702270,219.5114,True,,,read
